Stock,Earnings Yield,Return on Capital,Market Cap
AIIL.NS,-0.0007988848635793468,-0.039236030236940736,257462632448
AIRAN.NS,0.02471011885624818,0.08574754294788209,3254270720
AIROLAM.NS,0.06195396222183904,0.13319266652050724,1361281408
AJANTPHARM.NS,0.030712303291115007,0.2902312713052979,297255010304
AJAXENGG.NS,0.013666366106257901,0.15545330565855645,66533388288
AJMERA.NS,0.024717565802539664,0.05955705167927493,32419510272
AJOONI.NS,0.016286408590345327,0.056884282026588864,547536448
AKASH.NS,0.06360855279071351,0.043716523109299237,411950880
AKG.NS,0.052455768435517365,0.12199882702246985,408011552
AKI.NS,0.02969873723914494,0.11986357692929203,715340160
AKSHAR.NS,0.03371931908143589,0.043693724471978015,432693344
AKSHARCHEM.NS,0.09930722655893999,0.05926407817755484,1628711040
AKSHOPTFBR.NS,0.0007775054394692989,0.0020761236601398022,1646870400
AKUMS.NS,0.027234631376577428,0.11257600419429095,64517181440
AKZOINDIA.NS,0.018648323079014317,0.2021604938271605,155296727040
ALANKIT.NS,0.04130073137707019,0.12545774365732806,3826039552
ALBERTDAVD.NS,0.06296716317351046,0.10739828706927491,4462713856
ALEMBICLTD.NS,0.007012225367840636,0.007407046108385337,24874473472
ALICON.NS,0.02640501733864415,0.0699728353120869,10070622208
ALIVUS.NS,0.047252806609406076,0.7200435771980377,119348092928
ALKALI.NS,0.026279120706068852,0.04424961114582364,798918912
ALKEM.NS,0.032704482902970136,0.238900799852436,562015305728
ALKYLAMINE.NS,0.048761530262919885,0.46953386298518257,83642138624
ALLCARGO.NS,0.0653108952262272,0.0770118676883497,27046162432
ALLDIGI.NS,0.036877646948845745,0.16612072999532054,13782055936
ALMONDZ.NS,-0.0013523881706739948,-0.006789724983793024,3647621376
ALOKINDS.NS,-0.12720303889283777,-0.771104066590171,74278772736
ALPA.NS,0.05006689365955148,0.10044170719132749,2175730688
ALPHAGEO.NS,0.10282938610144975,0.035170355342571895,1472259712
ALPSINDUS.NS,-0.04484444534205602,0.13926465686668887,96611832
AMBER.NS,0.007553158977802984,0.08299857693301764,208061874176
AMBICAAGAR.NS,0.06018299035958806,0.03505145792213392,447127744
AMBIKCO.NS,0.12387138354238782,0.16245111605393384,7782565376
AMBUJACEM.NS,0.03407338402130684,0.13564574216274955,1293630570496
AMDIND.NS,0.06677083074872578,0.06174522685362351,860259776
AMIORG.NS,0.008665452287774158,0.31116019837871794,87434043392
AMJLAND.NS,-0.0027805271524893043,-0.004380676304966526,1868146560
AMNPLST.NS,0.04578139877819828,0.30642665961773263,11421601792
AMRUTANJAN.NS,0.05009801720580512,0.3709119208812458,17742206976
ANANDRATHI.NS,0.00015197260436650517,0.02290571209590091,146704072704
ANANTRAJ.NS,0.002279950934053953,0.008923985546372873,143017934848
ANDHRAPAP.NS,-0.001545921954891523,-0.0020054060540483374,13748489216
ANDHRSUGAR.NS,0.1608418191288078,0.10569441931719657,9137770496
ANGELONE.NS,0.0016324801066968998,0.005082615767905585,192400506880
ANIKINDS.NS,0.03782444634253384,0.03516462851422282,3274080512
ANKITMETAL.NS,-0.04757953350663142,0.10303732159684588,304648288
ANMOL.NS,0.21082551352338297,0.2640143905866957,871816384
ANSALAPI.NS,0.05359062492937242,0.1793570412950417,632967744
ANTGRAPHIC.NS,0.0012184917049109106,0.001108196587974542,150359712
ANUHPHR.NS,0.048153497705750295,0.2073089986493769,8201531392
ANUP.NS,0.010286631372318023,0.17611607398172188,59911745536
ANURAS.NS,0.019750650483523577,0.0838173350008842,77853138944
APARINDS.NS,0.013426606325395834,0.16078791200934245,199811186688
APCL.NS,0.34065845004575684,0.27272969942875447,3059091712
APCOTEXIND.NS,0.03538629576921469,0.18293717535093895,16992198656
APEX.NS,0.09485002178869989,0.1606725396800292,6273003008
APLAPOLLO.NS,0.014943925790644956,0.27233998477868293,399635972096
APLLTD.NS,0.080920063669682,0.2549860541548302,166189842432
APOLLO.NS,0.007320698706064128,0.07787507134603873,33220653056
APOLLOHOSP.NS,0.006275635730147843,0.06679887833328002,960958234624
APOLLOPIPE.NS,0.03635277414702561,0.17416317095221975,17261604864
